SuburbClass,Price,Rooms,Bedroom2,Bathroom,Car,Distance,YearBuilt
1,1939000.0,3,3.0,2.0,2.0,6.3,1889.0
1,1870000.0,3,3.0,1.0,1.0,6.3,1888.0
1,1918000.0,3,3.0,2.0,2.0,6.3,1995.0
1,2050000.0,3,3.0,2.0,1.0,6.3,1910.0
1,3000000.0,4,4.0,2.0,2.0,6.3,1934.0
1,1435000.0,1,2.0,2.0,1.0,6.3,1900.0
1,1210000.0,2,2.0,1.0,0.0,6.3,1910.0
1,2801000.0,4,4.0,2.0,2.0,6.3,1900.0
1,1800000.0,3,3.0,2.0,2.0,6.3,1910.0
1,2200000.0,4,4.0,1.0,2.0,6.3,1900.0
1,5525000.0,6,5.0,3.0,4.0,6.3,1935.0
1,1300000.0,3,2.0,1.0,2.0,6.3,1900.0
1,1900000.0,3,3.0,1.0,2.0,6.3,1900.0
1,1285000.0,3,3.0,1.0,2.0,6.3,1920.0
1,3625000.0,4,4.0,1.0,2.0,6.3,1900.0
1,4200000.0,4,4.0,3.0,3.0,6.3,2000.0
1,1101000.0,3,3.0,1.0,2.0,6.3,2000.0
1,3512500.0,3,3.0,2.0,2.0,6.3,1998.0
1,940000.0,3,3.0,1.0,2.0,5.9,1920.0
1,1380000.0,3,3.0,2.0,2.0,5.9,1910.0
1,1850000.0,4,4.0,3.0,1.0,5.9,1900.0
1,1284000.0,3,3.0,1.0,2.0,5.9,1938.0
1,971000.0,3,3.0,2.0,2.0,5.9,1900.0
1,710000.0,2,2.0,1.0,1.0,5.9,1890.0
1,2425000.0,6,6.0,3.0,2.0,5.9,1887.0
1,750000.0,2,2.0,1.0,1.0,5.9,1920.0
1,1053000.0,2,2.0,1.0,1.0,5.9,1900.0
1,1377000.0,3,3.0,1.0,1.0,5.9,1900.0
1,970000.0,3,3.0,1.0,2.0,5.9,1904.0
1,751000.0,2,2.0,1.0,1.0,5.9,1890.0
1,950000.0,2,2.0,1.0,1.0,5.9,1900.0
1,1230000.0,3,4.0,1.0,2.0,5.9,1960.0
1,770000.0,2,2.0,1.0,1.0,5.9,1900.0
1,960000.0,3,3.0,2.0,2.0,5.9,2011.0
1,890000.0,4,4.0,1.0,1.0,5.9,1890.0
1,1440000.0,3,3.0,1.0,1.0,5.9,1900.0
1,801000.0,3,3.0,1.0,2.0,5.9,1950.0
1,1000000.0,3,3.0,2.0,2.0,5.9,1955.0
1,1435000.0,3,3.0,2.0,2.0,5.9,1950.0
1,1425000.0,3,3.0,2.0,2.0,5.9,1920.0
1,1340000.0,4,3.0,2.0,2.0,5.9,1978.0
1,955000.0,3,3.0,1.0,1.0,5.9,1910.0
1,1100000.0,4,4.0,2.0,5.0,5.9,1920.0
1,1640000.0,4,4.0,3.0,2.0,5.9,1890.0
1,1430000.0,6,4.0,2.0,1.0,5.9,1900.0
1,940000.0,3,3.0,3.0,1.0,5.9,1950.0
1,890000.0,3,3.0,1.0,1.0,5.9,1920.0
1,1180000.0,3,3.0,2.0,2.0,5.9,1930.0
1,1480000.0,4,4.0,2.0,2.0,5.9,1939.0
1,865000.0,2,2.0,2.0,1.0,5.9,2015.0
1,705000.0,2,2.0,2.0,1.0,5.9,1998.0
1,1037500.0,3,3.0,1.0,2.0,5.9,1920.0
1,1050000.0,3,3.0,2.0,2.0,5.9,2013.0
1,1430000.0,4,4.0,2.0,0.0,5.9,1900.0
1,1130000.0,3,3.0,2.0,1.0,5.9,1900.0
1,1135000.0,3,3.0,1.0,1.0,5.9,1910.0
1,950000.0,4,4.0,2.0,1.0,5.9,1920.0
1,1345000.0,4,4.0,1.0,1.0,5.9,1920.0
1,1381500.0,3,3.0,2.0,2.0,5.9,1900.0
1,940000.0,3,3.0,2.0,2.0,5.9,2011.0
1,995000.0,3,3.0,2.0,1.0,5.9,2010.0
1,786000.0,3,3.0,2.0,1.0,5.9,1940.0
1,705000.0,2,2.0,1.0,3.0,5.9,1910.0
1,760000.0,2,2.0,1.0,1.0,5.9,1900.0
1,1000000.0,3,3.0,2.0,2.0,5.9,2003.0
1,1110000.0,4,4.0,2.0,1.0,5.9,1920.0
1,1305000.0,3,2.0,1.0,1.0,5.9,1900.0
1,1215000.0,3,3.0,1.0,1.0,5.9,1960.0
1,1705000.0,4,4.0,2.0,4.0,5.9,2012.0
1,2650000.0,4,4.0,3.0,2.0,11.0,2015.0
1,1670000.0,3,3.0,2.0,2.0,11.0,1930.0
1,2050000.0,3,3.0,3.0,4.0,11.0,2014.0
1,1555000.0,3,3.0,2.0,2.0,11.0,1935.0
1,1100000.0,3,3.0,3.0,2.0,11.0,2004.0
1,1337000.0,3,3.0,1.0,2.0,11.0,1950.0
1,2950000.0,8,9.0,7.0,4.0,11.0,2009.0
1,2215000.0,4,4.0,2.0,1.0,11.0,1940.0
1,1518000.0,3,3.0,2.0,2.0,11.0,1920.0
1,1710000.0,3,3.0,1.0,2.0,11.0,1950.0
1,1655000.0,3,3.0,1.0,3.0,11.0,1940.0
1,1550000.0,4,4.0,2.0,2.0,11.0,1938.0
1,1662000.0,3,3.0,2.0,2.0,11.0,2006.0
1,1665000.0,3,3.0,2.0,3.0,11.0,1945.0
1,3510000.0,5,5.0,5.0,2.0,11.0,2015.0
1,900000.0,3,3.0,2.0,2.0,11.0,1990.0
1,2752000.0,5,6.0,4.0,2.0,11.0,2010.0
1,1500000.0,3,3.0,2.0,2.0,11.0,1945.0
1,1800000.0,4,4.0,2.0,4.0,11.0,1950.0
1,1830000.0,3,3.0,2.0,3.0,11.0,1940.0
1,1415000.0,3,3.0,1.0,1.0,11.0,1950.0
1,1440000.0,2,2.0,1.0,1.0,11.0,1940.0
1,1250000.0,4,4.0,2.0,2.0,11.0,2007.0
1,1600000.0,5,5.0,3.0,4.0,11.0,1950.0
1,1860000.0,4,4.0,2.0,3.0,11.0,2000.0
1,1710000.0,3,3.0,2.0,2.0,11.0,1990.0
1,1790000.0,4,4.0,2.0,2.0,11.0,1935.0
1,1950000.0,4,4.0,2.0,2.0,11.0,1940.0
1,1650000.0,3,3.0,1.0,1.0,11.0,1947.0
1,995000.0,2,2.0,1.0,1.0,12.2,1950.0
1,1200000.0,4,4.0,3.0,2.0,12.2,2016.0
1,1075000.0,2,2.0,1.0,2.0,12.2,1950.0
1,1500000.0,4,2.0,2.0,2.0,12.2,2000.0
1,700000.0,2,2.0,1.0,2.0,12.2,1970.0
1,761000.0,3,3.0,2.0,4.0,12.2,1950.0
1,1365000.0,3,3.0,1.0,1.0,12.2,1950.0
1,1100000.0,4,3.0,2.0,2.0,12.2,1970.0
1,1631000.0,3,3.0,2.0,3.0,12.2,1950.0
1,1500000.0,4,4.0,2.0,1.0,12.2,1930.0
1,1529500.0,5,5.0,3.0,2.0,12.2,2000.0
1,785000.0,3,3.0,1.0,1.0,12.2,1960.0
1,1240000.0,4,4.0,2.0,2.0,12.2,1950.0
1,1110000.0,2,2.0,1.0,1.0,12.2,1950.0
1,1305000.0,3,3.0,1.0,1.0,12.2,1960.0
1,855000.0,3,3.0,2.0,1.0,12.2,1958.0
1,900500.0,3,3.0,2.0,2.0,12.2,2012.0
1,1200000.0,3,3.0,2.0,2.0,12.2,1970.0
1,830000.0,3,2.0,1.0,2.0,12.2,2012.0
2,850000.0,3,3.0,1.0,1.0,10.5,1970.0
2,750000.0,3,3.0,1.0,1.0,10.5,1980.0
2,851000.0,3,3.0,3.0,1.0,10.5,2017.0
2,806000.0,4,4.0,2.0,1.0,10.5,2008.0
2,1155000.0,4,3.0,2.0,2.0,10.5,2008.0
2,680000.0,3,3.0,1.0,2.0,10.5,1970.0
2,627500.0,3,3.0,1.0,1.0,10.5,1970.0
2,950000.0,4,4.0,3.0,3.0,10.5,1970.0
2,585000.0,2,2.0,1.0,1.0,10.5,2012.0
2,705000.0,3,3.0,1.0,1.0,10.5,1960.0
2,1100000.0,4,4.0,3.0,2.0,10.5,1992.0
2,892500.0,3,3.0,1.0,1.0,10.5,1965.0
2,522500.0,2,2.0,1.0,1.0,10.5,1995.0
2,680000.0,4,4.0,2.0,2.0,10.5,1960.0
2,550000.0,2,2.0,1.0,2.0,10.5,1993.0
2,875000.0,3,3.0,1.0,3.0,10.5,1960.0
2,762000.0,4,4.0,2.0,2.0,10.5,1961.0
2,805000.0,3,3.0,2.0,2.0,10.5,1970.0
2,890000.0,4,4.0,2.0,4.0,10.5,1960.0
2,634000.0,3,4.0,2.0,1.0,10.5,1950.0
2,642000.0,3,3.0,1.0,1.0,10.5,1960.0
1,1819000.0,4,3.0,2.0,1.0,6.6,1900.0
1,1015000.0,2,2.0,1.0,2.0,6.6,2000.0
1,1193000.0,3,3.0,1.0,1.0,6.6,1920.0
1,981000.0,2,2.0,1.0,0.0,6.6,1930.0
1,1690000.0,3,3.0,2.0,2.0,6.6,1890.0
1,1080000.0,3,3.0,1.0,1.0,6.6,1928.0
1,2100000.0,2,2.0,1.0,1.0,9.7,1920.0
1,1800000.0,4,4.0,2.0,2.0,9.7,1985.0
1,1255000.0,2,2.0,1.0,1.0,9.7,2000.0
1,2570000.0,5,5.0,3.0,2.0,9.7,2009.0
1,2400000.0,4,4.0,2.0,2.0,9.7,1985.0
1,4000000.0,6,6.0,4.0,7.0,9.7,1935.0
1,2250000.0,5,5.0,3.0,2.0,9.7,2006.0
1,1140000.0,3,3.0,2.0,2.0,9.7,1976.0
1,2800000.0,5,5.0,3.0,2.0,9.7,2001.0
1,1850000.0,2,3.0,1.0,1.0,9.7,1930.0
1,700000.0,3,3.0,1.0,1.0,9.7,1970.0
1,500000.0,2,2.0,1.0,1.0,9.7,1960.0
1,2125000.0,3,3.0,2.0,2.0,9.7,1985.0
1,1800000.0,4,3.0,2.0,2.0,9.7,1948.0
1,905000.0,3,3.0,1.0,2.0,9.7,1995.0
1,1750000.0,4,4.0,3.0,2.0,9.7,2016.0
1,760000.0,2,2.0,1.0,1.0,9.7,1960.0
1,1367000.0,3,3.0,2.0,2.0,9.7,2003.0
1,2550000.0,5,5.0,3.0,2.0,9.7,1930.0
1,1400000.0,4,4.0,3.0,2.0,9.7,2009.0
1,3270000.0,4,4.0,2.0,4.0,9.7,1927.0
1,2730000.0,4,4.0,3.0,2.0,9.7,1997.0
1,1800000.0,3,3.0,2.0,2.0,9.7,1980.0
1,1472000.0,3,3.0,2.0,2.0,9.7,1995.0
1,2188000.0,4,4.0,2.0,2.0,9.7,1981.0
1,3290000.0,4,4.0,3.0,2.0,9.7,1910.0
1,2410000.0,4,4.0,2.0,1.0,9.7,1940.0
1,2000000.0,4,3.0,1.0,2.0,9.7,1930.0
1,1900000.0,4,4.0,2.0,1.0,9.7,1940.0
1,3401000.0,3,3.0,2.0,1.0,9.7,1930.0
1,1750000.0,3,3.0,2.0,3.0,9.7,1943.0
1,1100000.0,3,3.0,2.0,1.0,9.7,1940.0
1,3020000.0,5,5.0,3.0,2.0,9.7,2009.0
1,2450000.0,5,4.0,2.0,2.0,9.7,1960.0
1,1500000.0,3,3.0,2.0,2.0,9.7,2011.0
1,1850000.0,3,3.0,1.0,1.0,9.7,1950.0
1,1700000.0,4,3.0,1.0,1.0,9.7,1935.0
1,1315000.0,3,3.0,2.0,2.0,9.2,2000.0
1,1500000.0,3,3.0,2.0,1.0,9.2,1950.0
1,3230000.0,4,4.0,4.0,3.0,9.2,1960.0
1,1905000.0,4,4.0,2.0,2.0,9.2,1955.0
1,3300000.0,5,5.0,4.0,2.0,9.2,2015.0
1,1900000.0,4,4.0,2.0,2.0,9.2,1955.0
1,2251000.0,3,3.0,1.0,2.0,9.2,1950.0
1,2205000.0,4,4.0,2.0,2.0,9.2,1950.0
1,1265000.0,3,3.0,2.0,1.0,9.2,2011.0
1,1750000.0,4,4.0,2.0,2.0,9.2,1960.0
1,1450000.0,3,3.0,1.0,2.0,9.2,1950.0
1,2614000.0,4,4.0,2.0,2.0,9.2,1955.0
1,1825000.0,4,4.0,2.0,3.0,9.2,1958.0
1,3250000.0,5,3.0,4.0,2.0,9.2,2013.0
1,1150000.0,3,3.0,2.0,1.0,9.2,2003.0
1,1575000.0,3,3.0,2.0,2.0,9.2,1953.0
1,1572000.0,4,4.0,2.0,2.0,9.2,1965.0
1,1750000.0,5,5.0,3.0,2.0,9.2,2013.0
1,1850000.0,4,4.0,2.0,2.0,9.2,1990.0
1,2130000.0,4,4.0,3.0,2.0,9.2,1970.0
1,3690000.0,5,4.0,4.0,2.0,9.2,1967.0
1,1740000.0,4,4.0,2.0,2.0,9.2,1993.0
1,2575000.0,4,4.0,3.0,2.0,9.2,2006.0
1,1388800.0,4,3.0,2.0,1.0,9.2,1970.0
1,1702000.0,4,4.0,2.0,2.0,9.2,1939.0
1,1800000.0,4,4.0,2.0,4.0,9.2,1960.0
1,2910000.0,4,4.0,3.0,2.0,9.2,1992.0
1,1500000.0,5,3.0,1.0,1.0,9.2,1950.0
1,2200000.0,5,5.0,3.0,2.0,9.2,1955.0
1,1700000.0,3,3.0,2.0,3.0,9.2,1960.0
1,1750000.0,3,2.0,1.0,2.0,9.2,1948.0
1,1230000.0,3,3.0,3.0,1.0,9.2,2012.0
1,2600000.0,7,5.0,3.0,3.0,9.2,2008.0
1,1950000.0,4,3.0,3.0,2.0,9.2,1970.0
1,1750000.0,5,5.0,2.0,2.0,9.2,1955.0
1,2000000.0,5,5.0,2.0,2.0,9.2,1950.0
1,1480000.0,3,3.0,1.0,4.0,9.2,1950.0
1,1818000.0,3,3.0,1.0,1.0,9.2,1930.0
1,2525000.0,4,4.0,2.0,2.0,9.2,1960.0
1,3360000.0,4,4.0,3.0,1.0,9.2,2003.0
1,1620000.0,4,4.0,2.0,1.0,9.2,1960.0
1,1903000.0,3,3.0,1.0,2.0,9.2,1950.0
1,1720000.0,4,4.0,3.0,2.0,9.2,1950.0
1,1675000.0,4,4.0,2.0,2.0,9.2,1974.0
1,1680000.0,4,4.0,3.0,1.0,9.2,2014.0
1,4000000.0,5,5.0,5.0,4.0,9.2,2013.0
1,2205000.0,4,4.0,2.0,2.0,9.2,1950.0
1,2100000.0,3,3.0,2.0,3.0,9.2,1940.0
1,685000.0,2,2.0,1.0,1.0,9.2,1975.0
1,1335000.0,3,3.0,2.0,2.0,9.2,2009.0
1,1900000.0,4,4.0,2.0,4.0,9.2,1960.0
1,1250000.0,4,4.0,2.0,2.0,9.2,1950.0
1,1900000.0,6,6.0,3.0,2.0,9.2,1974.0
1,1875000.0,5,5.0,3.0,2.0,9.2,1961.0
1,1530000.0,4,4.0,2.0,2.0,9.2,1960.0
1,1700000.0,4,3.0,2.0,5.0,9.2,1960.0
1,1238000.0,3,3.0,2.0,2.0,9.2,2010.0
1,1320000.0,3,3.0,1.0,0.0,9.2,1960.0
1,1651000.0,3,3.0,1.0,2.0,9.2,1960.0
1,1920000.0,5,5.0,3.0,2.0,9.2,1955.0
1,1560000.0,5,5.0,2.0,3.0,9.2,1980.0
1,1038000.0,3,3.0,2.0,1.0,9.2,2003.0
1,1660000.0,5,4.0,3.0,2.0,9.2,1950.0
1,1260000.0,3,3.0,2.0,2.0,9.2,1997.0
1,2150000.0,4,4.0,2.0,2.0,9.2,1960.0
1,1770000.0,3,3.0,2.0,1.0,9.2,1955.0
1,1836000.0,5,4.0,2.0,2.0,9.2,1957.0
1,895000.0,3,3.0,2.0,2.0,13.0,1997.0
1,1425000.0,3,3.0,2.0,2.0,13.0,1960.0
1,851000.0,2,2.0,1.0,1.0,13.0,1970.0
1,1222500.0,3,3.0,2.0,2.0,13.0,2000.0
1,900000.0,3,3.0,2.0,1.0,13.0,1925.0
1,1005000.0,7,7.0,3.0,4.0,13.0,1950.0
1,1317500.0,3,3.0,1.0,1.0,13.0,1945.0
1,1435000.0,4,3.0,3.0,2.0,13.0,2012.0
1,1110000.0,3,3.0,1.0,2.0,13.0,1940.0
1,2435000.0,4,3.0,2.0,2.0,13.0,1928.0
1,1500000.0,3,3.0,2.0,1.0,13.0,1940.0
1,1300000.0,4,4.0,2.0,2.0,13.0,1940.0
1,1125000.0,3,3.0,1.0,2.0,13.0,1948.0
1,1328000.0,4,3.0,2.0,2.0,13.0,1940.0
1,1340000.0,3,3.0,2.0,1.0,13.0,1910.0
1,1155000.0,4,4.0,3.0,2.0,13.0,2010.0
1,1275000.0,3,3.0,1.0,4.0,13.0,1960.0
1,770000.0,3,3.0,2.0,2.0,13.0,1987.0
1,855000.0,2,2.0,1.0,1.0,13.0,1940.0
1,1815000.0,4,4.0,2.0,4.0,13.0,1950.0
1,2255000.0,4,4.0,3.0,2.0,13.0,2008.0
1,1470000.0,3,3.0,2.0,2.0,13.0,1950.0
1,1860000.0,4,4.0,2.0,3.0,13.0,1930.0
1,1293000.0,3,3.0,1.0,1.0,13.0,1950.0
1,1390000.0,3,3.0,1.0,2.0,13.0,1925.0
1,1328000.0,3,3.0,2.0,2.0,13.0,1970.0
1,1247000.0,4,4.0,2.0,3.0,13.0,2008.0
1,1370000.0,3,3.0,1.0,2.0,13.0,1950.0
1,1385000.0,4,4.0,2.0,1.0,13.0,1920.0
1,1095000.0,3,3.0,2.0,1.0,13.0,1965.0
1,825000.0,3,3.0,2.0,2.0,13.0,2007.0
1,1235000.0,3,3.0,2.0,2.0,13.0,2012.0
1,1600000.0,5,5.0,3.0,2.0,13.0,1986.0
1,1165000.0,3,3.0,1.0,2.0,13.0,1950.0
1,1910000.0,4,4.0,2.0,4.0,13.0,1950.0
1,1430000.0,4,4.0,2.0,2.0,13.0,1970.0
1,910000.0,2,2.0,1.0,2.0,13.0,1970.0
1,2520000.0,4,4.0,4.0,2.0,13.0,2012.0
1,1900000.0,5,5.0,2.0,2.0,13.0,1926.0
1,1650000.0,4,3.0,2.0,2.0,13.0,1930.0
1,670000.0,2,2.0,2.0,1.0,13.0,2007.0
1,680000.0,2,2.0,1.0,1.0,13.0,1998.0
1,1320000.0,4,4.0,3.0,3.0,13.0,2010.0
1,1900000.0,6,6.0,3.0,2.0,13.0,1988.0
1,1535000.0,3,2.0,2.0,2.0,13.0,1930.0
1,1281000.0,4,3.0,1.0,5.0,13.0,1940.0
1,1385000.0,5,5.0,2.0,2.0,13.0,1950.0
1,2620000.0,4,4.0,4.0,2.0,13.0,2012.0
2,825000.0,2,2.0,2.0,1.0,13.9,2008.0
2,1275000.0,5,5.0,2.0,2.0,13.9,1960.0
2,1220000.0,4,3.0,2.0,2.0,13.9,1950.0
2,885000.0,3,3.0,1.0,2.0,13.9,1950.0
2,830000.0,3,0.0,2.0,2.0,13.9,2012.0
2,1100000.0,4,4.0,2.0,2.0,13.9,1975.0
2,1040000.0,3,3.0,2.0,2.0,13.9,1970.0
2,1210000.0,4,3.0,3.0,2.0,13.9,2014.0
2,1160000.0,4,3.0,2.0,2.0,13.9,2006.0
2,1215000.0,3,3.0,2.0,3.0,13.9,1970.0
2,1200000.0,4,4.0,2.0,2.0,13.9,1960.0
2,1050000.0,3,3.0,2.0,2.0,13.9,1950.0
2,950000.0,5,5.0,2.0,4.0,13.9,1950.0
2,1338000.0,3,3.0,2.0,2.0,13.9,1970.0
2,920000.0,3,3.0,1.0,3.0,13.9,1955.0
2,1390000.0,3,4.0,2.0,2.0,13.9,1960.0
2,1100000.0,3,3.0,1.0,2.0,13.9,1955.0
2,1206000.0,4,4.0,1.0,1.0,13.9,1940.0
2,486500.0,2,2.0,1.0,1.0,13.9,1960.0
2,1415000.0,4,4.0,2.0,2.0,13.9,1970.0
2,1185000.0,4,4.0,2.0,2.0,13.9,2012.0
2,1060000.0,4,4.0,3.0,1.0,13.9,1960.0
2,845000.0,3,3.0,2.0,2.0,13.9,1998.0
2,860000.0,3,3.0,2.0,1.0,13.9,1995.0
2,921000.0,3,3.0,2.0,2.0,13.9,2009.0
2,742500.0,2,2.0,1.0,1.0,13.9,1960.0
2,920000.0,3,3.0,2.0,2.0,13.9,1950.0
2,702000.0,2,2.0,1.0,1.0,13.9,1960.0
2,805000.0,3,3.0,2.0,1.0,13.9,2000.0
2,1100000.0,4,4.0,2.0,1.0,13.9,2004.0
2,1050000.0,3,3.0,1.0,4.0,13.9,1950.0
2,722000.0,2,2.0,2.0,1.0,13.9,2005.0
2,930000.0,3,3.0,1.0,2.0,13.9,1960.0
2,921000.0,3,3.0,2.0,1.0,13.9,2000.0
2,1035000.0,4,3.0,1.0,2.0,13.9,1950.0
2,1352000.0,4,4.0,2.0,2.0,13.9,1950.0
2,1005000.0,4,4.0,2.0,2.0,13.9,2006.0
2,1600000.0,5,4.0,2.0,2.0,13.9,1930.0
2,1200000.0,3,3.0,1.0,1.0,13.9,1970.0
2,780000.0,3,3.0,2.0,2.0,13.9,1950.0
2,1250000.0,4,4.0,2.0,2.0,13.9,2010.0
2,1110000.0,4,4.0,2.0,2.0,13.9,1960.0
2,1690000.0,4,4.0,2.0,2.0,13.9,1950.0
2,900000.0,3,3.0,1.0,3.0,13.9,1940.0
2,1189000.0,3,4.0,2.0,2.0,13.9,2010.0
2,970000.0,3,3.0,2.0,2.0,13.9,2000.0
