SuburbClass,Rooms,Bathroom,Car,Distance,Latitude,Longitude,HouseAgeType_historic,HouseAgeType_modern
1,4,2.0,2.0,11.0,-37.8693,145.08,0,1
1,3,2.0,1.0,14.3,-37.78758,145.16792,0,1
1,3,1.0,1.0,8.4,-37.87107,145.04991,0,1
1,2,1.0,1.0,3.4,-37.7928,144.9987,1,0
1,1,1.0,1.0,7.8,-37.87972,145.03351,0,1
3,4,2.0,2.0,23.5,-37.91692000000001,145.25896,0,1
1,2,1.0,1.0,2.3,-37.8044,144.9481,1,0
3,2,1.0,1.0,11.2,-37.713,145.0108,0,1
3,2,1.0,1.0,8.7,-37.7679,144.8935,0,1
1,5,5.0,2.0,5.6,-37.8117,145.0449,0,1
1,4,2.0,2.0,6.2,-37.83539,145.0431,0,1
1,3,2.0,1.0,13.9,-37.9236,145.0545,1,0
3,3,2.0,1.0,14.9,-37.7078,145.0807,0,1
1,4,2.0,2.0,13.7,-37.9324,145.0235,0,1
3,3,1.0,2.0,12.0,-37.72216,144.99381,1,0
1,3,2.0,2.0,6.1,-37.8726,144.9782,0,1
1,3,2.0,2.0,9.7,-37.8075,145.1011,0,1
1,2,1.0,2.0,6.5,-37.7569,144.9914,1,0
1,2,2.0,2.0,2.5,-37.8005,144.9952,1,0
3,2,2.0,0.0,7.8,-37.8058,144.8846,1,0
1,2,1.0,1.0,8.4,-37.82012,145.08526,1,0
1,2,2.0,1.0,2.3,-37.8016,144.9508,0,1
1,3,1.0,2.0,18.8,-37.92769000000001,145.16792,0,1
1,4,2.0,1.0,3.3,-37.8434,144.9495,1,0
1,3,2.0,2.0,8.0,-37.8644,144.9039,0,1
3,3,2.0,2.0,31.7,-37.58883,144.70202,0,1
3,4,2.0,2.0,19.6,-37.63762,145.03538999999995,0,1
1,4,2.0,1.0,3.5,-37.7815,144.9869,1,0
1,4,1.0,1.0,6.9,-37.7659,144.9116,1,0
1,3,2.0,1.0,10.5,-37.91068,145.00394,1,0
1,4,2.0,3.0,6.1,-37.8667,144.9832,1,0
1,3,2.0,1.0,7.7,-37.8829,144.9797,0,1
1,2,1.0,1.0,7.8,-37.8465,145.0743,1,0
3,2,1.0,1.0,14.0,-37.68988,144.91113,1,0
3,3,1.0,3.0,8.2,-37.7937,144.8732,1,0
1,5,2.0,2.0,6.9,-37.7615,144.9333,0,1
1,4,3.0,1.0,8.0,-37.7517,144.9086,1,0
3,3,2.0,4.0,20.5,-37.64215,145.08584,0,1
1,3,1.0,2.0,6.9,-37.7616,144.9284,0,1
3,5,3.0,4.0,8.4,-37.75017,145.01203999999996,0,1
1,3,2.0,2.0,6.5,-37.7544,144.998,1,0
3,3,1.0,0.0,14.5,-37.6885,144.9092,1,0
1,2,1.0,1.0,5.2,-37.7601,144.9581,0,1
3,3,1.0,4.0,12.0,-37.71562,145.02175,1,0
1,3,2.0,2.0,12.4,-37.77185,145.12509,0,1
3,3,1.0,2.0,10.5,-37.78956,144.84526,0,1
1,3,1.0,1.0,13.0,-37.8994,145.0816,1,0
3,3,2.0,1.0,14.9,-37.7085,145.0824,1,0
1,3,1.0,2.0,10.2,-37.83015,145.09035,1,0
1,3,1.0,1.0,13.9,-37.916,145.0776,1,0
1,3,2.0,1.0,9.0,-37.772,145.0538,0,1
3,4,2.0,1.0,13.0,-37.7006,144.9299,0,1
1,3,1.0,2.0,5.8,-37.7696,145.0188,1,0
1,3,2.0,1.0,4.1,-37.84297,145.01819,1,0
3,3,2.0,2.0,8.5,-37.72034,144.93788,0,1
1,3,2.0,2.0,10.2,-37.87105,145.10198,0,1
3,4,1.0,0.0,12.6,-37.7864,144.8353,1,0
1,4,2.0,2.0,4.6,-37.814,145.0175,1,0
3,3,1.0,1.0,10.5,-37.7642,144.8603,0,1
1,4,3.0,2.0,18.8,-37.92979,145.2036,0,1
1,4,2.0,2.0,4.3,-37.77708,144.90913999999995,0,1
3,3,1.0,1.0,13.3,-37.7676,144.8307,1,0
1,4,2.0,2.0,11.2,-37.8185,145.0878,0,1
3,3,2.0,6.0,13.5,-37.7969,144.8086,0,1
1,4,2.0,2.0,11.7,-37.8599,145.1101,0,1
3,4,1.0,2.0,8.2,-37.7969,144.8647,1,0
1,3,2.0,1.0,6.9,-37.7682,144.9058,1,0
3,4,2.0,2.0,6.7,-37.73697,144.97568,0,1
1,4,2.0,1.0,3.5,-37.7797,144.9861,1,0
3,5,2.0,2.0,11.5,-37.7129,144.9253,0,1
1,4,3.0,2.0,11.2,-37.8792,145.0869,0,1
3,4,2.0,2.0,18.4,-37.84958,144.67154,0,1
1,3,1.0,3.0,10.5,-37.88879,144.99833,1,0
1,3,1.0,1.0,3.6,-37.79068,144.97824,1,0
3,3,1.0,2.0,5.9,-37.7652,144.9454,0,1
3,3,2.0,2.0,10.6,-37.7524,145.06,0,1
3,2,1.0,1.0,5.1,-37.79583,144.89406,1,0
1,3,1.0,1.0,4.5,-37.8467,144.9894,1,0
3,3,1.0,1.0,12.9,-37.70321,144.87972,1,0
3,4,1.0,0.0,6.4,-37.80774,144.88251,1,0
1,5,3.0,2.0,13.8,-37.7658,145.124,0,1
1,4,1.0,1.0,5.3,-37.76917,144.98606,1,0
1,3,1.0,1.0,10.2,-37.82372,145.09085,1,0
1,3,2.0,2.0,13.0,-37.9148,145.0404,1,0
1,4,3.0,2.0,21.5,-38.00341,145.08773,1,0
1,2,1.0,1.0,7.7,-37.8401,145.09113,1,0
1,2,1.0,1.0,11.2,-37.8958,144.9982,1,0
3,4,2.0,1.0,31.7,-37.69026,144.57866,0,1
3,2,1.0,1.0,8.4,-37.8446,144.8796,1,0
1,3,1.0,1.0,11.2,-37.8726,145.0396,1,0
1,3,2.0,1.0,2.1,-37.8395,144.9489,1,0
1,2,2.0,1.0,5.9,-37.7713,144.9038,0,1
1,3,1.0,2.0,5.8,-37.783,145.0165,1,0
3,2,1.0,1.0,13.6,-37.8792,145.0948,1,0
1,4,2.0,1.0,12.3,-37.90706,145.09524,1,0
1,4,2.0,2.0,8.0,-37.757,144.9251,0,1
3,4,2.0,2.0,31.7,-37.58089,144.72183,0,1
1,4,2.0,0.0,8.5,-37.8852,144.9997,1,0
3,1,1.0,1.0,11.2,-37.70917,144.92291,0,1
3,2,1.0,2.0,13.0,-37.7117,144.9135,0,1
1,2,1.0,2.0,11.2,-37.8351,145.10299999999995,0,1
3,3,1.0,2.0,6.4,-37.7977,144.904,1,0
3,3,1.0,2.0,12.6,-37.7863,144.8401,0,1
1,3,2.0,0.0,6.2,-37.76285,144.90575,1,0
1,2,1.0,1.0,10.7,-37.9055,145.0173,0,1
1,2,1.0,1.0,7.7,-37.84197,145.09374,0,1
1,2,2.0,1.0,5.3,-37.76623,144.99318,1,0
3,3,1.0,2.0,25.0,-37.86126,145.25808,0,1
1,5,2.0,2.0,5.6,-37.8064,145.0608,1,0
1,2,1.0,1.0,5.2,-37.766,144.96076000000005,0,1
1,4,2.0,1.0,3.8,-37.8331,144.9412,1,0
3,2,1.0,0.0,6.6,-37.81,144.8896,1,0
3,4,1.0,3.0,38.0,-38.15675,145.12707,1,0
1,4,2.0,2.0,11.2,-37.9228,145.0022,0,1
3,3,1.0,2.0,9.2,-37.7236,144.9576,0,1
3,2,1.0,1.0,7.8,-37.7508,144.9608,1,0
3,4,1.0,3.0,11.2,-37.7022,144.92241,1,0
1,2,1.0,1.0,12.2,-37.8696,145.0962,0,1
1,2,1.0,1.0,5.5,-37.7667,144.9909,0,1
1,4,2.0,2.0,9.2,-37.7856,145.0918,1,0
3,3,2.0,2.0,6.4,-37.78559,144.86483,0,1
3,4,3.0,1.0,14.0,-37.68196,144.90661,0,1
1,3,2.0,1.0,4.3,-37.77639,144.91666,0,1
3,4,2.0,3.0,11.8,-37.7689,145.0895,0,1
3,2,1.0,1.0,20.5,-37.6522,145.09261,0,1
1,4,2.0,2.0,13.8,-37.7624,145.1175,0,1
1,5,2.0,2.0,7.7,-37.83825,145.08163000000005,0,1
1,2,1.0,2.0,2.5,-37.8281,144.9923,1,0
3,4,1.0,4.0,14.0,-37.67641,144.91435,1,0
3,5,2.0,2.0,11.2,-37.7099,145.0333,0,1
1,3,1.0,1.0,11.7,-37.8489,145.1093,1,0
3,3,2.0,4.0,12.4,-37.6996,144.9605,0,1
3,2,1.0,1.0,12.0,-37.71176,145.02142,0,1
1,2,1.0,1.0,9.7,-37.8094,145.0807,1,0
1,3,2.0,4.0,12.2,-37.8675,145.106,1,0
3,2,1.0,2.0,12.0,-37.71626,144.99866,1,0
3,2,2.0,1.0,8.4,-37.8441,144.8805,0,1
3,2,1.0,3.0,8.8,-37.7437,144.9995,1,0
3,3,1.0,2.0,22.2,-37.88953,145.22056,0,1
3,4,2.0,2.0,8.2,-37.798,144.8728,1,0
1,4,2.0,1.0,6.9,-37.7702,144.9268,1,0
1,3,1.0,1.0,11.2,-37.8148,145.0965,1,0
1,2,1.0,0.0,5.2,-37.76806,144.9598,1,0
1,5,2.0,2.0,13.0,-37.9241,145.048,1,0
1,2,1.0,1.0,5.2,-37.7646,144.9586,1,0
3,4,1.0,4.0,38.0,-38.16475,145.1345,0,1
3,4,2.0,4.0,13.5,-37.7951,144.8213,0,1
1,3,2.0,2.0,2.5,-37.8278,144.9885,1,0
1,2,1.0,0.0,5.2,-37.7572,144.9687,1,0
3,5,2.0,2.0,21.3,-37.83145,145.22826,0,1
3,4,1.0,1.0,9.2,-37.7817,144.868,1,0
1,3,2.0,2.0,5.6,-37.8053,145.0327,0,1
1,3,2.0,2.0,8.5,-37.8912,145.0138,1,0
1,3,2.0,1.0,3.3,-37.8448,144.9882,0,1
1,4,1.0,1.0,5.6,-37.8098,145.02200000000005,1,0
1,2,1.0,1.0,5.1,-37.8522,144.986,1,0
1,3,2.0,2.0,2.1,-37.8383,144.9632,1,0
3,3,2.0,2.0,12.8,-37.7514,144.8731,0,1
1,3,3.0,2.0,17.3,-37.98453,145.02659,0,1
